Particle,xFmax
490,1208.01
491,82.46
492,76.16
493,1159.74
494,1156.76
495,1180.04
496,1256.34
497,1167.3
498,1140.22
499,1045.47
500,111.8
501,1132.83
502,1133.58
503,1521.61
504,1885.97
505,1174.44
506,1097.86
507,1170.85
508,1192.18
509,111.8
510,1208.14
511,1207.39
512,1211.98
513,1187.27
514,1196.04
515,1154.12
516,1153.17
517,1468.64
518,1167.26
519,1348.48
520,1204.41
521,1225.28
522,1162.76
523,1133.71
524,1202.21
525,1279.53
526,44.72
527,1186.09
528,1208.01
529,1352.48
530,1340.63
531,1319.28
532,1215.11
533,1105.35
534,1321.97
535,1376.37
536,1272.36
537,1271.42
538,1274.24
539,1438.92
540,1181.91
541,1366.53
542,1215.65
543,1194.03
544,1200.71
545,1128.01
546,1285.03
547,80.62
548,1180.04
549,58.31
550,1207.02
551,1296.92
552,1288.91
553,1414.96
554,1146.34
555,1233.09
556,1172.09
557,94.34
558,1207.68
559,1127.92
560,1198.87
561,1136
562,1207.39
563,1146.34
564,1155.25
565,58.31
566,86.02
567,1347.33
568,1389.17
569,1167.6
570,1118.79
571,1418.52
572,44.72
573,1271.22
574,1154.51
575,1247.4
576,1227.88
577,1255.91
578,1268.23
579,1283.16
580,1186.8
581,1205.07
582,1127.52
583,1152.56
584,1191.05
585,107.7
586,1242.78
587,1294.95
588,1130.18
589,1148.56
590,1117.72
591,1338.69
592,1187.01
593,1423.59
594,1196.2
595,1251
596,1364.73
597,64.03
598,1120.09
599,1206.15
600,1172.9
601,92.2
602,1237.94
603,1137.19
604,1158.84
605,1154.34
606,1396.17
607,1151.17
608,1194.03
609,1145.86
610,1133.58
611,1241.49
612,1630.49
613,1201.08
614,1179.92
615,1145.29
616,1338.43
617,1148.09
618,1174.27
619,86.02
620,1178.9
621,1358.71
622,1284.13
623,1185.12
624,1295.22
625,1269.05
626,1126.41
627,1118.79
628,1252.56
629,1284.45
630,1216.31
631,1219.26
632,1356.02
633,120.83
634,1196.41
635,1174.78
636,1181.06
637,1274.75
638,1189.83
639,1146.3
640,1240.36
641,1326.73
642,1208.14
643,1429.02
644,1256.86
645,1142.37
646,1194.74
647,1239.4
648,1208.14
649,1328.5
650,1086.69
651,50
652,1134.37
653,1302.08
654,1292.59
655,1133.58
656,1263.21
657,1208.3
658,1188.49
659,1169.66
660,1203.04
661,1176.31
662,104.4
663,1331.54
664,1363.41
665,1122.72
666,1189.62
667,1133.71
668,1124.46
669,1274.13
670,1099.32
671,1092.38
672,1218.28
673,1210.37
674,1168.46
675,1205.69
676,1205.99
677,1176.14
678,1218.4
679,80.62
680,1265.7
681,1137.45
682,1148.09
683,1136
684,1185.33
685,1174.78
686,1281.6
687,1302.5
688,64.03
689,1192.06
690,1255.91
691,1432.65
692,1317
693,1180.89
694,1130.18
695,1060.24
696,50.99
697,1232.6
698,1192.06
699,1390.14
700,1212.48
701,1132.83
702,1092.75
703,1259.36
704,1149.35
705,1151.56
706,1120.04
707,1349.52
708,1142.85
709,76.16
710,1295.57
711,1382.93
712,1311.83
713,1200.67
714,1223.85
715,1339.29
716,1142.32
717,1320.04
718,1092.02
719,1192.81
720,56.57
721,1156.24
722,1430.03
723,1171.54
724,1179.24
725,1329.7
726,64.03
727,1134.06
728,1238.43
729,1186
730,1158.02
731,304.63
732,1086.83
733,1163.62
734,1223.81
735,1143.37
736,1169.32
737,1140.18
738,1200.17
739,1185.62
740,1222.62
741,1158.84
742,1138.86
743,1290.74
744,63.25
745,1344.66
746,1394.74
747,1188.78
748,1176.48
749,1262.54
750,1279.14
751,1252.4
752,1173.37
753,1276.13
754,1106.8
755,1106.8
756,1156.24
757,1243.26
758,1161.08
759,58.31
760,1145.43
761,1304.3
762,1220.9
763,366.74
764,1183.38
765,1356.95
766,1159.53
767,1361.65
768,1181.4
769,1436
770,1217.95
771,325.58
772,1196.83
773,1223.32
774,1448.07
775,1452.48
776,1251.6
777,1199.54
778,1166.19
779,1168.29
780,1241.69
781,1342.13
782,1133.23
783,1245.35
784,1167.26
785,1286.55
786,1174.78
787,1220.25
788,1201.04
789,1176.61
790,1524.86
791,1106.35
792,1284.56
793,1213.34
794,1126.14
795,1124.14
796,1226.74
797,1244.23
798,1126.14
799,1310.42
800,1132.08
801,1122.94
802,1364.73
803,1253.99
804,1293.75
805,1196.16
806,1307.4
807,1133.18
808,1127.7
809,1131.59
810,1126.99
811,1755.59
812,1196.7
813,102.96
814,1143.9
815,1263.72
816,1425.8
817,1142.37
818,1203.54
819,86.02
820,1176.14
821,1190.38
822,1369.38
823,1155.21
824,1226.91
825,1153.78
826,1167.09
827,1294.37
828,1202.08
829,1188.49
830,1190.38
831,1543.15
832,1184.61
833,1420.21
834,1186.97
835,1320.04
836,1159.53
837,1287.52
838,1177.96
839,1376.44
840,122.07
841,1429.48
842,1288.45
843,1337.35
844,1191.05
845,1203.33
846,1225.77
847,1218.52
848,1359.45
849,1379.31
850,1155.21
851,1275.81
852,1342.39
853,72.11
854,1151.69
855,1113.19
856,1151.09
857,44.72
858,1233.21
859,1279.06
860,1317.65
861,1188.7
862,1273.18
863,1104.54
864,1254.31
865,403.11
866,1166.06
867,1157.41
868,1194.07
869,80.62
870,85.44
871,86.02
872,1324.84
873,1145.86
874,1305.11
875,1194.74
876,1426.88
877,1198.54
878,1162.97
879,1222.99
880,1140.39
881,1177.96
882,1228.01
883,1151.09
884,1353.7
885,1280.82
886,1186
887,1284.25
888,1536.29
889,1291.9
890,1196.33
891,1173.46
892,1177.2
893,1167.09
894,1224.09
895,1357.72
896,1137.45
897,1255.15
898,1209.05
899,1200.71
900,1206.15
901,1210.83
902,164.92
903,1148.56
904,1333.6
905,1346.14
906,1260.2
907,1173.88
908,1364.99
909,1225.77
910,1172.73
911,1095.54
912,1380.62
913,1206.03
914,1338.43
915,1452.48
916,1108.02
917,1180.04
918,1312.44
919,1212.11
920,1297.69
921,1309.2
922,1320.61
923,1200.71
924,1163.49
925,1116.15
926,1378.19
927,1375.94
928,1452.62
929,1281.41
930,1368.21
931,1190.8
932,1130.88
933,1272.36
934,1190.8
935,1157.41
936,1230.65
937,1173.37
938,1263.72
939,50
940,72.11
941,1155.21
942,1226.54
943,1287.05
944,1461.03
945,1372.95
946,1172.39
947,1320.04
948,50
949,1200.17
950,1275.34
951,326.5
952,1364.73
953,1154.34
954,1343.32
955,1260.52
956,1200.67
957,1132.83
958,1205.4
959,1255.91
960,1400.71
961,1226.91
962,405.22
963,1152.48
964,1169.7
965,1272.83
966,1297.11
967,1110.72
968,1155.21
969,1199.21
970,1181.19
971,1224.13
972,1166.19
973,1132.3
974,1224.3
975,1343.32
976,294.11
977,1343.32
978,1117.72
979,1256.03
980,1057.59
981,1131.59
982,1180.89
983,72.8
984,1113.96
985,1165.16
986,1132.96
987,1336.9
988,1145.6
989,1165.16
990,1159.74
991,1146.91
992,1212.35
993,1169.32
994,1326.99
995,1244.03
996,1194.36
997,1098.77
998,1068.92
999,1218.24
1000,50
1001,1388.52
1002,1114.63
1003,1264.79
1004,1123.79
1005,1288.1
1006,1128.05
1007,1220.04
1008,388.33
1009,1178.35
1010,1102.77
1011,1333.04
1012,1352.04
1013,1130.31
1014,450
1015,1108.56
1016,1246.64
1017,1109.41
1018,1222.5
1019,1317.46
1020,1158.84
1021,1124.86
1022,1091.1
1023,94.87
1024,86.02
1025,1067.33
1026,1177.45
1027,1296.3
1028,1111.98
1029,1434.05
1030,1309.24
1031,1238.43
1032,1194.03
1033,1178.35
1034,1253.2
1035,1192.06
1036,1221.23
1037,1169.66
1038,1198.17
1039,58.31
1040,1166.19
1041,1140.04
1042,1144.03
1043,1155.25
1044,1185.96
1045,326.5
1046,1183.43
1047,1296.92
1048,1144.9
1049,1347.29
1050,1221.97
1051,1200.71
1052,1192.02
1053,1178.9
1054,53.85
1055,1326.08
1056,1179.03
1057,1120.04
1058,1315.29
1059,1156.76
1060,1234.58
1061,1085.59
1062,1436.18
1063,1170.47
1064,1226.42
1065,1364.99
1066,1222.62
1067,1201.04
1068,1181.52
1069,1348.26
1070,1127.87
1071,1253.55
1072,1271.38
1073,1144.25
1074,1128.94
1075,1129.47
1076,1190.38
1077,1276.75
1078,64.03
1079,1146.34
1080,1173.46
1081,1235.48
1082,1225.89
1083,1218.4
1084,1336.6
1085,1145.47
1086,1480.71
1087,1186.09
1088,1171.84
1089,1289.69
1090,1304.19
1091,1254.83
1092,1165.16
1093,1169.66
1094,1162.84
1095,1238.59
1096,1247.88
1097,1223.32
1098,1212.64
1099,1121.61
1100,1175.16
1101,1208.3
1102,1259.92
1103,1196.2
1104,1435.9
1105,1189.5
1106,1158.84
1107,344.82
1108,1206.15
1109,1312.44
1110,1156.94
1111,1363.08
1112,1220.04
1113,1154.51
1114,1300.5
1115,1192.06
1116,434.63
1117,1169.27
1118,1194.03
1119,1223.76
1120,1212.02
1121,1110.72
1122,1181.19
1123,1154.34
1124,1390.58
1125,1350.04
1126,1130.04
1127,1176.14
1128,1325.03
1129,1263.96
1130,1126.45
1131,1273.18
1132,1161.08
1133,1123.79
1134,1177.2
1135,1154.34
1136,1214.62
1137,357.77
1138,1176.31
1139,1175.46
1140,1333.6
1141,1146.3
1142,1306.98
1143,1155.21
1144,1236.85
1145,316.23
1146,1210.83
1147,1192.69
1148,1096.59
1149,278.03
1150,1134.64
1151,1296.3
1152,1265.07
1153,1216.55
1154,1209.34
1155,1306.33
1156,1259.29
1157,1230.81
1158,408.04
1159,1172.01
1160,64.03
1161,1176.14
1162,1147.26
1163,1364.73
1164,1202.21
1165,1215.11
1166,1078.38
1167,1326.39
1168,1338.43
1169,378.02
1170,1379.06
1171,1173.93
1172,1152.78
1173,1126.81
1174,1132.3
1175,1162.5
1176,1372.95
1177,1158.49
1178,1249.64
1179,1137.72
1180,1188.49
1181,1111.98
1182,1214.95
1183,1161.08
1184,1177.96
1185,1333.04
1186,1190.97
1187,1259.36
1188,1398.43
1189,1354.4
1190,1097.86
1191,1218.24
1192,1255.39
1193,1243.42
1194,1362.09
1195,1252.84
1196,1056.83
1197,1084.67
1198,1155.21
1199,1382.93
1200,1243.1
1201,1161.03
1202,1348.07
1203,1162.97
1204,1307.36
1205,1185.33
1206,1190.38
1207,1353.85
1208,117.05
1209,120.83
1210,1244.23
1211,1187.14
1212,1186
1213,1172.73
1214,1234.34
1215,1284.72
1216,1353.4
1217,1227.76
1218,1241.69
1219,1118.03
1220,1169.66
1221,1325.48
1222,1359.6
1223,1324.84
1224,1243.1
1225,1142.85
1226,1145.6
1227,1143.9
1228,1407.2
1229,1376.15
1230,1120.71
1231,1251.6
1232,1275.34
1233,308.87
1234,1163.62
1235,1204.33
1236,1162.84
1237,1128.05
1238,260.77
1239,94.87
1240,1366.93
1241,1145.43
1242,1276.75
1243,1380.04
1244,1295.22
1245,1192.02
1246,1340.78
1247,1208.8
1248,1352.07
1249,106.3
1250,380.79
1251,435.66
1252,1142.32
1253,1239.76
1254,1060.42
1255,1109.41
1256,1171.37
1257,372.16
1258,1394.45
1259,1165.16
1260,1307.29
1261,1213.34
1262,1168.46
1263,1161.08
1264,1228.01
1265,1208.8
1266,1166.19
1267,1200.71
1268,1144.77
1269,1144.81
1270,1166.62
1271,1085.77
1272,1310.27
1273,1246.15
1274,403.11
1275,1173.88
1276,1204.33
1277,1170.47
1278,1146.3
1279,264.01
1280,1179.24
1281,1380.8
1282,1239.68
1283,1195.7
1284,1239.11
1285,1360.15
1286,1151.69
1287,1190.8
1288,1180.68
1289,1341.72
1290,1378.01
1291,1285.77
1292,1537.92
1293,1512.12
1294,1334.17
1295,1296.92
1296,1127.92
1297,1394.88
1298,1386
1299,1207.02
1300,1418.52
1301,1180.72
1302,1159.74
1303,1188.28
1304,1227.76
1305,1423.69
1306,1224.95
1307,1411.56
1308,1108.02
1309,1257.82
1310,1319.73
1311,1180.04
1312,1220.25
1313,1298.69
1314,1205.03
1315,342.05
1316,1248.24
1317,416.17
1318,1361.32
1319,1162.45
1320,1192.06
1321,1317.46
1322,1104.54
1323,275.14
1324,329.85
1325,1239.76
1326,1141.4
1327,1317.95
1328,1246.52
1329,1225.89
1330,1196.04
1331,1168.12
1332,1214.13
1333,1259.29
1334,1254.19
1335,1157.45
1336,269.07
1337,1131.46
1338,334.22
1339,1210.17
1340,1123.61
1341,1182.71
1342,1307.36
1343,1302.5
1344,1185.33
1345,1253.99
1346,1288.25
1347,1246.8
1348,1190.38
1349,1293.21
1350,80.62
1351,80.62
1352,1202.04
1353,1174.27
1354,1340.78
1355,1196.04
1356,72.8
1357,1215.94
1358,1168.46
1359,1292.59
1360,1210.62
1361,1187.14
1362,1313.2
1363,1173.88
1364,1220.53
1365,1106.8
1366,1160.17
1367,1259.36
1368,1207.39
1369,1244.23
1370,1132.25
1371,1250.04
1372,1240.36
1373,366.2
1374,1286
1375,1126.99
1376,1214.91
1377,319.53
1378,1163.87
1379,1275.77
1380,1096.59
1381,1227.88
1382,1215.94
1383,1151.22
1384,1174.44
1385,1193.69
1386,1110.18
1387,98.49
1388,1208.8
1389,1178.86
1390,1112.34
1391,1200.75
1392,1151.35
1393,58.31
1394,53.85
1395,1192.81
1396,1140.22
1397,58.31
1398,1098.95
1399,44.72
1400,1077.08
1401,1140.22
1402,1226.74
1403,1162.76
1404,1200.71
1405,1249.08
1406,1247.88
1407,1194.19
1408,1212.48
1409,1193.69
1410,1452.48
1411,1233.69
1412,284.43
1413,1333.3
1414,1176.61
1415,67.08
1416,1307.52
1417,1188.11
1418,1148.65
1419,1354.18
1420,89.44
1421,1149.78
1422,1239.07
1423,1158.49
1424,1254.95
1425,1142.85
1426,1183.38
1427,1175.93
1428,368.92
1429,1171.75
1430,291.55
1431,50.99
1432,356.09
1433,1158.02
1434,1512.51
1435,280.18
1436,50
1437,1146.21
1438,1148.56
1439,1127.21
1440,50
1441,338.38
1442,360.56
1443,1250
1444,1054.75
1445,1191.05
1446,1392.91
1447,1379.31
1448,1242.58
1449,1098.77
1450,1178.86
1451,294.28
1452,1132.3
1453,1312.29
1454,1251.72
1455,1254.95
1456,1315.48
1457,1170.34
1458,1100.64
1459,1144.38
1460,1176.14
1461,1340.63
1462,1138.99
1463,1168.29
1464,1199.21
1465,1410.32
1466,94.34
1467,1333.04
1468,277.85
1469,1440.59
1470,130.38
1471,1400.64
1472,1255.15
1473,1108.87
1474,1183.77
1475,1272.83
1476,1172.01
1477,1283.2
1478,1244.03
1479,1382.32
1480,1137.8
1481,1430.87
1482,1158.02
1483,1134.06
1484,1165.2
1485,1186
1486,1138.86
1487,1377.68
1488,1231.3
1489,1282.22
1490,1175.93
1491,1372.44
1492,1173.93
1493,1142.85
1494,1141.27
1495,1141.1
1496,1121.78
1497,1110.86
1498,1351.63
1499,1437.85
1500,1280.16
1501,1326.54
1502,419.76
1503,1107.88
1504,1140.18
1505,1104.54
1506,1248.88
1507,1148.43
1508,1156.03
1509,1202.83
1510,1293.21
1511,1247.88
1512,1149.83
1513,1502.33
1514,1204.16
1515,1243.1
1516,250
1517,429.53
1518,1155.21
1519,1229.67
1520,1175.16
1521,1135.69
1522,1200.17
1523,1154.34
1524,1167.65
1525,1158.02
1526,1265.07
1527,1221.15
1528,1223.19
1529,1145.6
1530,1151.69
1531,1337.35
1532,1311.83
1533,1270.04
1534,1145.86
1535,1455.23
1536,1196.2
1537,1212.64
1538,1173.41
1539,1325.18
1540,396.61
1541,130.38
1542,1151.09
1543,1329.66
1544,1191.05
1545,1084.67
1546,1334.54
1547,528.11
1548,1222.5
1549,1130.04
1550,1307.29
1551,1165.59
1552,1158.71
1553,1207.02
1554,1270.63
1555,1234.91
1556,1152.48
1557,1220.37
1558,1126.14
1559,1193.31
1560,1210.17
1561,1204.16
1562,1229.67
1563,1155.72
1564,1156.03
1565,1198.54
1566,1138.86
1567,1195.07
1568,1176.44
1569,1164.82
1570,1350
1571,336.15
1572,1308.01
1573,1156.94
1574,1382.93
1575,264.76
1576,1230.33
1577,1283.2
1578,1171.75
1579,1404.28
1580,1152.61
1581,1198.54
1582,1508.81
1583,1245.55
1584,1259.36
1585,1231.67
1586,1403.46
1587,1065.13
1588,1363.08
1589,1152.48
1590,1206.03
1591,1321.85
1592,1116.29
1593,1194.36
1594,1197.08
1595,1487.88
1596,1195.7
1597,1188.28
1598,1176.44
1599,329.85
1600,1152.61
1601,1203.33
1602,1243.91
1603,1124.01
1604,1272.01
1605,1396.07
1606,1199.71
1607,1176.86
1608,1212.77
1609,1314.69
1610,100
1611,1432.52
1612,1198.54
1613,136.01
1614,1192.02
1615,1122.94
1616,1456.02
1617,1206.03
1618,1137.01
1619,1154.34
1620,1168.12
1621,1255.39
1622,1240.36
1623,1216.06
1624,218.4
1625,1240.16
1626,1218.4
1627,1216.96
1628,1434.05
1629,1324.58
1630,1251.72
1631,139.28
1632,1396.07
1633,1153.65
1634,1349.74
1635,1195.41
1636,1152.09
1637,1119.46
1638,1225.44
1639,1192.81
1640,1181.52
1641,1254.95
1642,1214.95
1643,1121.47
1644,1151.35
1645,1314.84
1646,1341.12
1647,1142.37
1648,1172.73
1649,1231.67
1650,1154.34
1651,1191.01
1652,1243.42
1653,1145.6
1654,1394.63
1655,1229.19
1656,1130.71
1657,89.44
1658,86.02
1659,1338.43
1660,1184.06
1661,1204.33
1662,1137.41
1663,1151.56
1664,1187.14
1665,1268.23
1666,1306.68
1667,1165.2
1668,1239.88
1669,1192.52
1670,1185.12
1671,143.18
1672,1171.75
1673,1212.48
1674,1224.83
1675,1215.94
1676,1149.83
1677,1351.18
1678,50
1679,1266.49
1680,72.11
1681,1221.88
1682,1177.45
1683,1353.7
1684,1231.67
1685,292.06
1686,1153.65
1687,1078.7
1688,1116.15
1689,50
1690,1094.17
1691,80.62
1692,89.44
1693,287.92
1694,1256.86
1695,1294.68
1696,1167.3
1697,1403.57
1698,1250.04
1699,1345.36
1700,67.08
1701,1175.46
1702,1182.24
1703,1216.96
1704,1208.14
1705,1102.18
1706,1258.77
1707,1290.35
1708,1259.36
1709,1140.18
1710,1157.41
1711,1236
1712,1217.95
1713,1155.21
1714,1136.53
1715,1084.62
1716,1194.36
1717,1404.64
1718,305.29
1719,1297.11
1720,1158.02
1721,355.11
1722,356.09
1723,1149.48
1724,364.01
1725,1177.2
1726,1232.23
1727,1200.71
1728,1159.74
1729,1255.91
1730,1336.45
1731,1202.08
1732,1312.44
1733,1128.05
1734,1164
1735,1223.32
1736,1148.65
1737,1169.32
1738,1151.22
1739,1344.8
1740,1155.25
1741,1117.59
1742,1149.78
1743,1293.75
1744,1232.23
1745,1164
1746,1157.45
1747,1284.56
1748,1167.09
1749,347.13
1750,1404.64
1751,1147.39
1752,1137.01
1753,1140.18
1754,1196.41
1755,1283.78
1756,1140.7
1757,1290.04
1758,1182.29
1759,1401.18
1760,1140.57
1761,1126.99
1762,1137.8
1763,340
1764,1240.85
1765,288.44
1766,1156.03
1767,1441.8
1768,1143.9
1769,1186.09
1770,1280.04
1771,1288.1
1772,1314.61
1773,1246.31
1774,1192.31
1775,1182.58
1776,1313.2
1777,1154.51
1778,1167.3
1779,1338.21
1780,1145.43
1781,1148.09
1782,1157.63
1783,1167.09
1784,1175.46
1785,1302.69
1786,1265.31
1787,1435.9
1788,1318.26
1789,1121.61
1790,1307.71
1791,1306.48
1792,1155.21
1793,86.02
1794,1241.97
1795,1258.01
1796,1153.17
1797,1188.78
1798,1221.15
1799,1251.32
1800,1257.18
1801,1228.01
1802,1332.22
1803,1228.01
1804,1166.19
1805,1120.89
1806,64.03
1807,150
1808,1159.74
1809,1153.17
1810,1151.17
1811,1187.01
1812,1358.57
1813,1167.26
1814,1147.39
1815,1146.34
1816,1188.49
1817,1300.81
1818,1149.09
1819,1154.21
1820,1267.52
1821,98.49
1822,1063.3
1823,1157.32
1824,1328.83
1825,1140.22
1826,1244.23
1827,1162.5
1828,1194.74
1829,1185.96
1830,1281.56
1831,1213.8
1832,1343.32
1833,1218.28
1834,1175.46
1835,1440.69
1836,1262.1
1837,1181.19
1838,63.25
1839,1114
1840,1134.42
1841,1231.1
1842,1382.24
1843,1230.65
1844,1190.8
1845,360.56
1846,1159.74
1847,1114.63
1848,1270.12
1849,1492.65
1850,1199.21
1851,1223.32
1852,1304.19
1853,1142.37
1854,1252.52
1855,1039.47
1856,478.02
1857,1273.5
1858,1147.56
1859,1155.72
1860,1197.54
1861,314.01
1862,384.19
1863,1105.71
1864,1196.2
1865,1171.84
1866,1274.75
1867,1281.6
1868,1230.65
1869,1353.59
1870,1144.77
1871,1366.2
1872,1103.09
1873,1142.15
1874,1155.21
1875,1129.29
1876,1056.79
1877,1381.05
1878,1338.43
1879,424.38
1880,72.11
1881,1310.46
1882,1159.74
1883,552.18
1884,1116.47
1885,1406.31
1886,1310.34
1887,1173.46
1888,1179.03
1889,1197.54
1890,1297.27
1891,1087.24
1892,1190.38
1893,64.03
1894,94.34
1895,67.08
1896,1215.94
1897,1245.31
1898,1153.65
1899,1284.72
1900,1123.79
1901,1218.03
1902,1107.25
1903,1351.48
1904,1297.69
1905,1284.45
1906,1221.47
1907,1113.64
1908,1232.27
1909,1474.62
1910,1277.69
1911,1135.65
1912,1170
